Linac Beam 
3.9268366000e+01 8.2843557138e+01 8.2843557138e+01 
3.9604992000e+01 8.3560581707e+01 8.3560581707e+01 
3.9942891000e+01 8.4278769838e+01 8.4278769838e+01 
4.0282057000e+01 8.4997951115e+01 8.4997951115e+01 
4.0622484000e+01 8.5718256258e+01 8.5718256258e+01 
4.0964167000e+01 8.6439502243e+01 8.6439502243e+01 
4.1307101000e+01 8.7161846032e+01 8.7161846032e+01 
4.1645537000e+01 8.7886317774e+01 8.7886317774e+01 
4.1985149000e+01 8.8571826020e+01 8.8571826020e+01 
4.2325860000e+01 8.9210516395e+01 8.9210516395e+01 
4.2690745000e+01 8.9779363203e+01 8.9779363203e+01 
4.2930745000e+01 8.9779363203e+01 8.9779363203e+01 
4.3090745000e+01 8.9779363203e+01 8.9779363203e+01 
4.3400745000e+01 8.9779363203e+01 8.9779363203e+01 
4.3860745000e+01 8.9779363203e+01 8.9779363203e+01 
4.4170745000e+01 8.9779363203e+01 8.9779363203e+01 
4.4570745000e+01 8.9779363203e+01 8.9779363203e+01 
4.4939245000e+01 8.9779363203e+01 8.9779363203e+01 
4.5036695979e+01 8.9779362973e+01 8.9779362973e+01 
4.5134146958e+01 8.9756106989e+01 8.9756106989e+01 
4.5231597937e+01 8.9646887141e+01 8.9646887141e+01 
4.5329048916e+01 9.0694736483e+01 9.0694736483e+01 
4.5426499895e+01 9.0924086168e+01 9.0924086168e+01 
4.5523950874e+01 9.1625001415e+01 9.1625001415e+01 
4.5621401853e+01 9.2233740553e+01 9.2233740553e+01 
4.5718852832e+01 9.3312213369e+01 9.3312213369e+01 
4.5816303812e+01 9.3308597511e+01 9.3308597511e+01 
4.5913754791e+01 9.3308591656e+01 9.3308591656e+01 
4.6068245000e+01 9.3308591656e+01 9.3308591656e+01 
4.6165695979e+01 9.3308590518e+01 9.3308590518e+01 
4.6263146958e+01 9.3286289594e+01 9.3286289594e+01 
4.6360597937e+01 9.3303874816e+01 9.3303874816e+01 
4.6458048916e+01 9.4363857060e+01 9.4363857060e+01 
4.6555499895e+01 9.4623176326e+01 9.4623176326e+01 
4.6652950874e+01 9.5321507692e+01 9.5321507692e+01 
4.6750401853e+01 9.5919779981e+01 9.5919779981e+01 
4.6847852832e+01 9.7017053479e+01 9.7017053479e+01 
4.6945303812e+01 9.7014851233e+01 9.7014851233e+01 
4.7042754791e+01 9.7014845264e+01 9.7014845264e+01 
4.7430745000e+01 9.7014845264e+01 9.7014845264e+01 
4.7590745000e+01 9.7014845264e+01 9.7014845264e+01 
4.7900745000e+01 9.7014845264e+01 9.7014845264e+01 
4.8360745000e+01 9.7014845264e+01 9.7014845264e+01 
4.8670745000e+01 9.7014845264e+01 9.7014845264e+01 
4.8830745000e+01 9.7014845264e+01 9.7014845264e+01 
4.9199245000e+01 9.7014845264e+01 9.7014845264e+01 
4.9296695979e+01 9.7014842489e+01 9.7014842489e+01 
4.9394146958e+01 9.6994802066e+01 9.6994802066e+01 
4.9491597937e+01 9.7296826140e+01 9.7296826140e+01 
4.9589048916e+01 9.8390240989e+01 9.8390240989e+01 
4.9686499895e+01 9.8768257474e+01 9.8768257474e+01 
4.9783950874e+01 9.9468739419e+01 9.9468739419e+01 
4.9881401853e+01 1.0018784108e+02 1.0018784108e+02 
4.9978852832e+01 1.0126959378e+02 1.0126959378e+02 
5.0076303812e+01 1.0126570057e+02 1.0126570057e+02 
5.0173754791e+01 1.0126569447e+02 1.0126569447e+02 
5.0328245000e+01 1.0126569447e+02 1.0126569447e+02 
5.0425695979e+01 1.0126569100e+02 1.0126569100e+02 
5.0523146958e+01 1.0124723884e+02 1.0124723884e+02 
5.0620597937e+01 1.0164895819e+02 1.0164895819e+02 
5.0718048916e+01 1.0273823272e+02 1.0273823272e+02 
5.0815499895e+01 1.0313003061e+02 1.0313003061e+02 
5.0912950874e+01 1.0383324445e+02 1.0383324445e+02 
5.1010401853e+01 1.0452087588e+02 1.0452087588e+02 
5.1107852832e+01 1.0564583058e+02 1.0564583058e+02 
5.1205303812e+01 1.0564412942e+02 1.0564412942e+02 
5.1302754791e+01 1.0564412318e+02 1.0564412318e+02 
5.1690745000e+01 1.0564412318e+02 1.0564412318e+02 
5.1850745000e+01 1.0564412318e+02 1.0564412318e+02 
5.2160745000e+01 1.0564412318e+02 1.0564412318e+02 
5.2620745000e+01 1.0564412318e+02 1.0564412318e+02 
5.2930745000e+01 1.0564412318e+02 1.0564412318e+02 
5.3090745000e+01 1.0564412318e+02 1.0564412318e+02 
5.3459245000e+01 1.0564412318e+02 1.0564412318e+02 
5.3556695979e+01 1.0564411887e+02 1.0564411887e+02 
5.3654146958e+01 1.0562425995e+02 1.0562425995e+02 
5.3751597937e+01 1.0610873620e+02 1.0610873620e+02 
5.3849048916e+01 1.0733568642e+02 1.0733568642e+02 
5.3946499895e+01 1.0775119208e+02 1.0775119208e+02 
5.4043950874e+01 1.0855349272e+02 1.0855349272e+02 
5.4141401853e+01 1.0922689628e+02 1.0922689628e+02 
5.4238852832e+01 1.1056268804e+02 1.1056268804e+02 
